Year,Primary Type,total,arrests,arrest_rate
2016,PUBLIC INDECENCY,10,10,100.0
2016,PUBLIC PEACE VIOLATION,1607,1116,69.4
2016,ROBBERY,11960,986,8.2
2016,SEX OFFENSE,1062,204,19.2
2016,STALKING,176,16,9.1
2016,THEFT,61627,6522,10.6
2016,WEAPONS VIOLATION,3450,2510,72.8
2017,ARSON,444,40,9.0
2017,ASSAULT,19306,3463,17.9
2017,BATTERY,49242,10095,20.5
2017,BURGLARY,13001,653,5.0
2017,CONCEALED CARRY LICENSE VIOLATION,69,66,95.7
2017,CRIM SEXUAL ASSAULT,1466,118,8.0
2017,CRIMINAL DAMAGE,29045,1750,6.0
2017,CRIMINAL SEXUAL ASSAULT,235,34,14.5
2017,CRIMINAL TRESPASS,6814,4018,59.0
2017,DECEPTIVE PRACTICE,19809,850,4.3
2017,GAMBLING,191,191,100.0
2017,HOMICIDE,676,234,34.6
2017,HUMAN TRAFFICKING,9,1,11.1
2017,INTERFERENCE WITH PUBLIC OFFICER,1087,1032,94.9
2017,INTIMIDATION,150,14,9.3
2017,KIDNAPPING,190,17,8.9
2017,LIQUOR LAW VIOLATION,191,191,100.0
2017,MOTOR VEHICLE THEFT,11380,916,8.0
2017,NARCOTICS,11683,11677,99.9
2017,NON-CRIMINAL,1,0,0.0
2017,OBSCENITY,87,66,75.9
2017,OFFENSE INVOLVING CHILDREN,2463,408,16.6
2017,OTHER NARCOTIC VIOLATION,11,7,63.6
2017,OTHER OFFENSE,17272,3775,21.9
2017,PROSTITUTION,735,735,100.0
2017,PUBLIC INDECENCY,10,10,100.0
2017,PUBLIC PEACE VIOLATION,1498,1022,68.2
2017,ROBBERY,11881,923,7.8
2017,SEX OFFENSE,1073,216,20.1
2017,STALKING,192,24,12.5
2017,THEFT,64387,6475,10.1
2017,WEAPONS VIOLATION,4686,3678,78.5
2018,ARSON,373,41,11.0
2018,ASSAULT,20408,3366,16.5
2018,BATTERY,49833,10299,20.7
2018,BURGLARY,11747,598,5.1
2018,CONCEALED CARRY LICENSE VIOLATION,149,145,97.3
2018,CRIM SEXUAL ASSAULT,1375,120,8.7
2018,CRIMINAL DAMAGE,27823,1686,6.1
2018,CRIMINAL SEXUAL ASSAULT,373,67,18.0
2018,CRIMINAL TRESPASS,6909,3802,55.0
2018,DECEPTIVE PRACTICE,19995,894,4.5
2018,GAMBLING,201,201,100.0
2018,HOMICIDE,600,257,42.8
2018,HUMAN TRAFFICKING,12,1,8.3
2018,INTERFERENCE WITH PUBLIC OFFICER,1307,1245,95.3
2018,INTIMIDATION,169,13,7.7
2018,KIDNAPPING,172,8,4.7
2018,LIQUOR LAW VIOLATION,268,268,100.0
